route	frame	row	simplified_chinese
mxa	01	1	对战特战队！
mxa	01	2	希望！
mxa	01	3	地球战士们
mxa	02	0	龙族
mxa	02	1	对战弗利萨！
mxa	02	2	那美克游击队！
mxa	02	3	元祖赛亚人一家
mxa	03	0	弗利萨的手下们
mxa	03	1	盖洛博士的野心
mxa	03	2	Z战队
mxa	03	3	制霸宇宙之人
mxa	04	0	曾经的对手
mxa	04	1	少年组
mxa	04	2	剑士猎人
mxa	04	3	纯血赛亚人
mxb	00	0	复仇觉醒者
mxb	00	1	龙拳
mxb	00	2	那美克星人
mxb	00	3	觉醒吧！愤怒的超级赛亚人
mxb	01	0	吸收一切之人
mxb	01	1	被创造的灵魂
mxb	01	2	追求胜利之人
mxb	01	3	杀戮机器
mxb	02	0	传承教诲之人
mxb	02	1	弗利萨一族
mxb	02	2	打倒魔导师之人
mxb	02	3	天才头脑
mxb	03	0	来自现在、过去与未来的使者
mxb	03	1	不服输
mxb	03	2	美丽笑容
mxb	03	3	最终决战
mxb	04	0	继承赛亚人血脉的地球人
mxb	04	1	成长历程
mxb	04	2	完美沙鲁军团
mxb	04	3	两个魔人
mxc	00	0	对战贝吉塔
mxc	00	1	绿色洪流
mxc	00	2	极尽破坏者
mxc	00	3	赛亚王子
mxc	01	0	无法跨越的壁垒
mxc	01	1	超越魔人的力量
mxc	01	2	三大超级赛亚人
mxc	01	3	撒旦队？
mxc	02	0	巴比迪的仆从
mxc	02	1	永恒不灭
mxc	02	2	新那美克星之战
mxc	02	3	比高星
mxc	03	0	终极黑暗
mxc	03	1	纯血超级赛亚人
mxc	03	2	完全之人
mxc	03	3	火花四射！！
mxc	04	0	极限力量
mxc	04	1	超级无敌危险战队
mxc	04	2	终极之战
mxc	04	3	大家的英雄
pic	00	0	比克与悟饭
pic	00	1	比克的自信
pic	00	2	强敌人造人
pic	00	3	神秘怪物
pic	01	0	比克VS18号
pic	01	1	激战！魔人布欧
pic	01	2	神仙的条件
pic	01	3	沙鲁的暗中行动
pic	02	0	古拉与沙鲁
pic	02	1	古拉机甲战队
pic	02	2	完全体
trk	00	0	时光机
trk	00	1	神秘少年
trk	00	2	能打倒沙鲁吗！？
trk	00	3	超越父亲的超级特兰克斯！
trk	01	0	另一个结局
trk	01	1	为未来带来和平……
trk	01	2	孤身一人的战士
trk	01	3	特兰克斯与悟饭
trk	02	0	与18号分别
trk	02	1	伽力克爆裂
tut	00	0	移动
tut	00	1	攻击
tut	00	2	防御
tut	00	3	支援攻击
tut	01	0	换人
tut	01	1	积蓄气力
tut	01	2	追踪冲刺
tut	01	3	防护罩防御
tut	02	0	投技
tut	02	1	气弹
tut	02	2	气弹反射
tut	02	3	特殊能力
tut	03	0	必杀技
tut	03	1	必杀技对决
tut	03	2	团队必杀技
veg	00	0	开始行动的帝王
veg	00	1	那美克星之战
veg	00	2	贝吉塔VS18号
veg	00	3	超级贝吉塔
veg	01	0	暴露的邪念
veg	01	1	贝吉塔的舍命一战
veg	01	2	贝吉塔VS特兰克斯
veg	01	3	另一个未来
veg	02	0	贝吉塔的失败
veg	02	1	复活与胜利！
