character	item	category	simplified_chinese	requires_detail	simplified_chinese_detail	secondary_simplified_chinese	secondary_simplified_chinese_detail
bmr	ex3	arts	地狱吐息	yes	向下时		
bmr	ex4	arts	欢乐甜点	yes	靠近对手时		
bmr	sp1	special	再生能力	yes	恢复体力。		
bmr	team1	team	撒旦大显身手	no			
bmj	ex1	arts	泽克斯破坏击	yes	向上时		
bmj	ex2	arts	狂杀俯冲	yes	横向时		
bmj	ex3	arts	强袭骤雨	yes	向下时		
bmj	ex4	arts	九头蛇粉碎击	yes	横向时		
bmj	sp1	special	强力击打	yes	攻击被对手防住时，\n对手的防御槽上升更多。		
bmj	team1	team	银河甜甜圈	no			
bmj	team2	team	暗黑剑斩	no			
col	ex1	arts	内兹旋风	yes	向上时		
col	ex2	arts	沙维扎利刃	yes	横向时		
col	ex3	arts	德雷重压	yes	向下时		
col	ex4	arts	弧光爆破	yes	横向时		
col	sp1	special	洗刷污名	yes	队伍中的弗利萨被击倒后，\n提升攻击力。		
col	team1	team	冰冻风暴	no			
com	ex1	arts	核心重击	yes	向上时		
com	ex2	arts	死亡爆破	yes	横向时		
com	ex3	arts	冰巢	yes	向下时		
com	ex4	arts	机械暴雨	yes	横向时		
com	sp1	special	复活	yes	气力为150时被击倒，\n会自动复活。		
brl	ex1	arts	巨型尖刺	yes	向上时		
brl	ex2	arts	爆裂炮弹	yes	横向时		
brl	ex3	arts	行星喷泉	yes	向下时		
brl	ex4	arts	爆裂流星	no			
brl	sp1	special	打倒卡卡罗特！	yes	对手中有悟空时，\n提升攻击力。		
vga	ex1	arts	最终爆破	yes	向上时		
vga	ex2	arts	原子爆裂	yes	横向时		
vga	ex3	arts	流星爆裂	yes	向下时		
vga	ex4	arts	最终爆炸	yes	向上时		
vga	sp1	special	打倒卡卡罗特！	yes	对手中有悟空时，\n提升攻击力。		
trn	ex1	arts	疾冲剑	yes	向上时		
trn	ex2	arts	闪光剑	yes	横向时		
trn	ex3	arts	新月剑	yes	向下时		
trn	ex4	arts	爆裂剑	yes	横向时		
trn	sp1	special	愤怒	yes	对手中有人造人时，\n提升攻击力。		
trn	team1	team	双剑斩	no			
gtn	ex1	arts	银河甜甜圈	yes	向上时		
gtn	ex2	arts	胜利加农炮	yes	横向时		
gtn	ex3	arts	超级幽灵神风攻击	yes	向下时		
gtn	ex4	arts	究极超级赛亚人	yes	横向时		
gtn	sp1	special	超级赛亚人	yes	提升攻击力。		
cey	ex1	arts	气圆连斩	yes	向上时		
cey	ex2	arts	龟派气功	yes	横向时		
cey	ex3	arts	激烈光弹	yes	向下时		
cey	ex4	arts	吸收	yes	靠近对手时		
cey	sp1	special	自爆	yes	体力低于30%时，\n可以自爆。		
cey	team1	team	双重吸收	no			
tsh	sp1	special	雅木茶	yes	冲向对手，\n大幅削减其防御槽。	天津饭	向对手发射气功炮，\n造成伤害。
tsh	sp2	special	天津饭	yes	向对手发射气功炮，\n造成伤害。		
tsh	team1	team	地球战士们	no			
dnd	sp1	special	丹迪	yes	恢复体力。		
stn	sp1	special	撒旦先生	yes	随机投掷炸弹。		
stn	team1	team	超级元气弹	no			
stn	team2	team	撒旦大显身手	no			
1617	sp1	special	17号	yes	在玩家前方展开\n无敌屏障。	16号	向对手发动攻击。
1617	sp2	special	16号	yes	向对手发动攻击。		
1617	team1	team	地狱螺旋	no			
bvd	sp1	special	魔导师巴比迪	yes	扰乱对手的操作。		
cej	sp1	special	小沙鲁	yes	出现在对手身后，\n挥拳攻击。		
cej	team1	team	小沙鲁乱舞	no			
zbdd	sp1	special	萨博	yes	发射无法回避的气弹。	多多利亚	连续发射大量气弹。
zbdd	sp2	special	萨博	yes	发射无法回避的气弹。		
zbdd	team1	team	致盲流星	no			
bdk	sp1	special	巴达克	yes	瞬间将气力提升至200。		
dbr	sp1	special	达普拉	yes	投掷武器。		
dbr	team1	team	暗黑剑斩	no			
srn	sp1	special	神龙	yes	可让一名已被击倒的\n队友复活。		
neko	sp1	special	猫魔人Z	yes	发射猫派气功。		
