character	unicode	code_hex	native_slot_character	page	x0	y0	x1	y1	punctuation	source
按	U+6309	824F	０	0	75	150	89	164	no	ark-12px-common
露	U+9732	8250	１	0	90	150	104	164	no	ark-12px-common
嚷	U+56B7	8251	２	0	105	150	119	164	no	ark-12px-common
杰	U+6770	8252	３	0	120	150	134	164	no	ark-12px-common
键	U+952E	8253	４	0	135	150	149	164	no	ark-12px-common
带	U+5E26	8254	５	0	150	150	164	164	no	ark-12px-common
领	U+9886	8255	６	0	165	150	179	164	no	ark-12px-common
惠	U+60E0	8256	７	0	180	150	194	164	no	ark-12px-common
处	U+5904	8257	８	0	195	150	209	164	no	ark-12px-common
踏	U+8E0F	8258	９	0	210	150	224	164	no	ark-12px-common
扫	U+626B	8260	Ａ	0	225	150	239	164	no	ark-12px-common
观	U+89C2	8261	Ｂ	0	240	150	254	164	no	ark-12px-common
瞧	U+77A7	8262	Ｃ	0	0	165	14	179	no	ark-12px-common
碰	U+78B0	8263	Ｄ	0	15	165	29	179	no	ark-12px-common
腿	U+817F	8264	Ｅ	0	30	165	44	179	no	ark-12px-common
动	U+52A8	8265	Ｆ	0	45	165	59	179	no	ark-12px-common
硬	U+786C	8266	Ｇ	0	60	165	74	179	no	ark-12px-common
照	U+7167	8267	Ｈ	0	75	165	89	179	no	ark-12px-common
卖	U+5356	8268	Ｉ	0	90	165	104	179	no	ark-12px-common
励	U+52B1	8269	Ｊ	0	105	165	119	179	no	ark-12px-common
乖	U+4E56	826A	Ｋ	0	120	165	134	179	no	ark-12px-common
变	U+53D8	826B	Ｌ	0	135	165	149	179	no	ark-12px-common
聪	U+806A	826C	Ｍ	0	150	165	164	179	no	fusion-12px-zh_hans
糖	U+7CD6	826D	Ｎ	0	165	165	179	179	no	ark-12px-common
吧	U+5427	826E	Ｏ	0	180	165	194	179	no	ark-12px-common
螺	U+87BA	826F	Ｐ	0	195	165	209	179	no	ark-12px-common
摧	U+6467	8270	Ｑ	0	210	165	224	179	no	ark-12px-common
城	U+57CE	8271	Ｒ	0	225	165	239	179	no	ark-12px-common
旋	U+65CB	8272	Ｓ	0	240	165	254	179	no	fusion-12px-zh_hans
现	U+73B0	8273	Ｔ	0	0	180	14	194	no	ark-12px-common
没	U+6CA1	8274	Ｕ	0	15	180	29	194	no	ark-12px-common
竟	U+7ADF	8275	Ｖ	0	30	180	44	194	no	ark-12px-common
噫	U+566B	8276	Ｗ	0	45	180	59	194	no	ark-12px-common
步	U+6B65	8277	Ｘ	0	60	180	74	194	no	ark-12px-common
刺	U+523A	8281	ａ	0	105	180	119	194	no	ark-12px-common
嘿	U+563F	8283	ｃ	0	135	180	149	194	no	ark-12px-common
艘	U+8258	8284	ｄ	0	150	180	164	194	no	ark-12px-common
费	U+8D39	8285	ｅ	0	165	180	179	194	no	ark-12px-common
罢	U+7F62	8286	ｆ	0	180	180	194	194	no	ark-12px-common
赶	U+8D76	8287	ｇ	0	195	180	209	194	no	ark-12px-common
紧	U+7D27	8289	ｉ	0	225	180	239	194	no	fusion-12px-zh_hans
濒	U+6FD2	828A	ｊ	0	240	180	254	194	no	ark-12px-common
干	U+5E72	828B	ｋ	0	0	195	14	209	no	ark-12px-common
架	U+67B6	828C	ｌ	0	15	195	29	209	no	ark-12px-common
儿	U+513F	828E	ｎ	0	45	195	59	209	no	ark-12px-common
荣	U+8363	828F	ｏ	0	60	195	74	209	no	ark-12px-common
珍	U+73CD	8290	ｐ	0	75	195	89	209	no	ark-12px-common
经	U+7ECF	8291	ｑ	0	90	195	104	209	no	ark-12px-common
胆	U+80C6	8292	ｒ	0	105	195	119	209	no	ark-12px-common
迟	U+8FDF	8293	ｓ	0	120	195	134	209	no	ark-12px-common
添	U+6DFB	8294	ｔ	0	135	195	149	209	no	ark-12px-common
歉	U+6B49	8295	ｕ	0	150	195	164	209	no	ark-12px-common
蹭	U+8E6D	8296	ｖ	0	165	195	179	209	no	ark-12px-common
个	U+4E2A	8297	ｗ	0	180	195	194	209	no	ark-12px-common
俗	U+4FD7	8298	ｘ	0	195	195	209	209	no	ark-12px-common
货	U+8D27	8299	ｙ	0	210	195	224	209	no	ark-12px-common
盲	U+76F2	829A	ｚ	0	225	195	239	209	no	ark-12px-common
对	U+5BF9	829F	ぁ	0	240	195	254	209	no	ark-12px-common
辜	U+8F9C	82A0	あ	0	0	210	14	224	no	ark-12px-common
施	U+65BD	82A1	ぃ	0	15	210	29	224	no	fusion-12px-zh_hans
谅	U+8C05	82A2	い	0	30	210	44	224	no	ark-12px-common
摆	U+6446	82A3	ぅ	0	45	210	59	224	no	ark-12px-common
缚	U+7F1A	82A4	う	0	60	210	74	224	no	ark-12px-common
坏	U+574F	82A5	ぇ	0	75	210	89	224	no	ark-12px-common
镇	U+9547	82A6	え	0	90	210	104	224	no	ark-12px-common
遣	U+9063	82A7	ぉ	0	105	210	119	224	no	ark-12px-common
懊	U+61CA	82A8	お	0	120	210	134	224	no	ark-12px-common
饿	U+997F	82A9	か	0	135	210	149	224	no	ark-12px-common
吃	U+5403	82AA	が	0	150	210	164	224	no	ark-12px-common
进	U+8FDB	82AB	き	0	165	210	179	224	no	ark-12px-common
霸	U+9738	82AC	ぎ	0	180	210	194	224	no	ark-12px-common
肚	U+809A	82AD	く	0	195	210	209	224	no	ark-12px-common
某	U+67D0	82AE	ぐ	0	210	210	224	224	no	ark-12px-common
撒	U+6492	82AF	け	0	225	210	239	224	no	ark-12px-common
驾	U+9A7E	82B0	げ	0	240	210	254	224	no	ark-12px-common
约	U+7EA6	82B1	こ	0	0	225	14	239	no	ark-12px-common
逢	U+9022	82B2	ご	0	15	225	29	239	no	ark-12px-common
临	U+4E34	82B3	さ	0	30	225	44	239	no	ark-12px-common
炫	U+70AB	82B4	ざ	0	45	225	59	239	no	ark-12px-common
花	U+82B1	82B5	し	0	60	225	74	239	no	ark-12px-common
咿	U+54BF	82B6	じ	0	75	225	89	239	no	ark-12px-common
呀	U+5440	82B7	す	0	90	225	104	239	no	ark-12px-common
秘	U+79D8	82B8	ず	0	105	225	119	239	no	ark-12px-common
刚	U+521A	82B9	せ	0	120	225	134	239	no	ark-12px-common
些	U+4E9B	82BA	ぜ	0	135	225	149	239	no	ark-12px-common
话	U+8BDD	82BB	そ	0	150	225	164	239	no	ark-12px-common
密	U+5BC6	82BD	た	0	180	225	194	239	no	ark-12px-common
隐	U+9690	82BE	だ	0	195	225	209	239	no	ark-12px-zh_cn
巧	U+5DE7	82BF	ち	0	210	225	224	239	no	ark-12px-common
屡	U+5C61	82C0	ぢ	0	225	225	239	239	no	ark-12px-common
假	U+5047	82C1	っ	0	240	225	254	239	no	ark-12px-common
您	U+60A8	82C2	つ	0	0	240	14	254	no	ark-12px-common
躲	U+8EB2	82C3	づ	0	15	240	29	254	no	ark-12px-common
狗	U+72D7	82C4	て	0	30	240	44	254	no	ark-12px-common
跟	U+8DDF	82C5	で	0	45	240	59	254	no	ark-12px-common
它	U+5B83	82C6	と	0	60	240	74	254	no	ark-12px-common
否	U+5426	82C7	ど	0	75	240	89	254	no	ark-12px-common
跑	U+8DD1	82C9	に	0	105	240	119	254	no	ark-12px-common
柔	U+67D4	82CA	ぬ	0	120	240	134	254	no	ark-12px-common
还	U+8FD8	82CB	ね	0	135	240	149	254	no	ark-12px-common
样	U+6837	82CC	の	0	150	240	164	254	no	ark-12px-common
斯	U+65AF	82CD	は	0	165	240	179	254	no	ark-12px-common
喂	U+5582	82CE	ば	0	180	240	194	254	no	ark-12px-common
谁	U+8C01	82CF	ぱ	0	195	240	209	254	no	ark-12px-common
则	U+5219	82D0	ひ	0	210	240	224	254	no	ark-12px-common
说	U+8BF4	82D1	び	0	225	240	239	254	no	ark-12px-common
毫	U+6BEB	82D2	ぴ	0	240	240	254	254	no	ark-12px-common
无	U+65E0	82D3	ふ	1	0	0	14	14	no	ark-12px-common
远	U+8FDC	82D4	ぶ	1	15	0	29	14	no	ark-12px-common
殃	U+6B83	82D5	ぷ	1	30	0	44	14	no	ark-12px-common
嘎	U+560E	82D6	へ	1	45	0	59	14	no	fusion-12px-zh_hans
闹	U+95F9	82D7	べ	1	60	0	74	14	no	ark-12px-common
哇	U+54C7	82D8	ぺ	1	75	0	89	14	no	ark-12px-common
劲	U+52B2	82D9	ほ	1	90	0	104	14	no	ark-12px-common
愤	U+6124	82DA	ぼ	1	105	0	119	14	no	ark-12px-common
沉	U+6C89	82DB	ぽ	1	120	0	134	14	no	ark-12px-common
恒	U+6052	82DC	ま	1	135	0	149	14	no	ark-12px-common
夙	U+5919	82DD	み	1	150	0	164	14	no	ark-12px-common
睡	U+7761	82DE	む	1	165	0	179	14	no	ark-12px-zh_cn
穷	U+7A77	82DF	め	1	180	0	194	14	no	ark-12px-common
胀	U+80C0	82E0	も	1	195	0	209	14	no	ark-12px-common
务	U+52A1	82E1	ゃ	1	210	0	224	14	no	ark-12px-common
另	U+53E6	82E2	や	1	225	0	239	14	no	ark-12px-common
从	U+4ECE	82E3	ゅ	1	240	0	254	14	no	ark-12px-common
筋	U+7B4B	82E4	ゆ	1	0	15	14	29	no	ark-12px-common
离	U+79BB	82E5	ょ	1	15	15	29	29	no	ark-12px-common
而	U+800C	82E6	よ	1	30	15	44	29	no	ark-12px-common
之	U+4E4B	82E7	ら	1	45	15	59	29	no	ark-12px-common
截	U+622A	82E8	り	1	60	15	74	29	no	ark-12px-common
纯	U+7EAF	82E9	る	1	75	15	89	29	no	ark-12px-common
贵	U+8D35	82EA	れ	1	90	15	104	29	no	ark-12px-common
粹	U+7CB9	82EB	ろ	1	105	15	119	29	no	ark-12px-common
此	U+6B64	82ED	わ	1	120	15	134	29	no	ark-12px-common
矮	U+77EE	82F1	ん	1	150	15	164	29	no	ark-12px-common
胡	U+80E1	8340	ァ	1	165	15	179	29	no	ark-12px-common
释	U+91CA	8341	ア	1	180	15	194	29	no	ark-12px-common
增	U+589E	8342	ィ	1	195	15	209	29	no	ark-12px-common
卑	U+5351	8343	イ	1	210	15	224	29	no	ark-12px-common
选	U+9009	8344	ゥ	1	225	15	239	29	no	ark-12px-common
择	U+62E9	8346	ェ	1	0	30	14	44	no	ark-12px-common
疼	U+75BC	8347	エ	1	15	30	29	44	no	ark-12px-common
鄙	U+9119	8348	ォ	1	30	30	44	44	no	ark-12px-zh_cn
哈	U+54C8	8349	オ	1	45	30	59	44	no	ark-12px-common
迹	U+8FF9	834A	カ	1	60	30	74	44	no	ark-12px-common
搞	U+641E	834B	ガ	1	75	30	89	44	no	ark-12px-common
昏	U+660F	834C	キ	1	90	30	104	44	no	ark-12px-common
叔	U+53D4	834D	ギ	1	105	30	119	44	no	ark-12px-common
即	U+5373	834E	ク	1	120	30	134	44	no	fusion-12px-zh_hans
庞	U+5E9E	834F	グ	1	135	30	149	44	no	ark-12px-common
佯	U+4F6F	8350	ケ	1	150	30	164	44	no	ark-12px-common
许	U+8BB8	8351	ゲ	1	165	30	179	44	no	ark-12px-common
欺	U+6B3A	8352	コ	1	180	30	194	44	no	ark-12px-common
给	U+7ED9	8353	ゴ	1	195	30	209	44	no	ark-12px-common
欸	U+6B38	8354	サ	1	210	30	224	44	no	ark-12px-common
记	U+8BB0	8355	ザ	1	225	30	239	44	no	ark-12px-common
挺	U+633A	8356	シ	1	240	30	254	44	no	ark-12px-common
哪	U+54EA	8357	ジ	1	0	45	14	59	no	ark-12px-common
里	U+91CC	8358	ス	1	15	45	29	59	no	ark-12px-common
愧	U+6127	8359	ズ	1	30	45	44	59	no	ark-12px-common
谢	U+8C22	835A	セ	1	45	45	59	59	no	ark-12px-common
哼	U+54FC	835B	ゼ	1	60	45	74	59	no	ark-12px-common
壮	U+58EE	835C	ソ	1	75	45	89	59	no	ark-12px-common
团	U+56E2	835D	ゾ	1	90	45	104	59	no	ark-12px-common
队	U+961F	835E	タ	1	105	45	119	59	no	ark-12px-common
显	U+663E	835F	ダ	1	120	45	134	59	no	ark-12px-common
组	U+7EC4	8360	チ	1	135	45	149	59	no	ark-12px-common
伍	U+4F0D	8361	ヂ	1	150	45	164	59	no	ark-12px-common
悉	U+6089	8362	ッ	1	165	45	179	59	no	ark-12px-common
摸	U+6478	8363	ツ	1	180	45	194	59	no	ark-12px-common
钮	U+94AE	8364	ヅ	1	195	45	209	59	no	ark-12px-common
糟	U+7CDF	8365	テ	1	210	45	224	59	no	ark-12px-common
搜	U+641C	8366	デ	1	225	45	239	59	no	ark-12px-common
够	U+591F	8367	ト	1	240	45	254	59	no	ark-12px-common
貌	U+8C8C	8368	ド	1	0	60	14	74	no	ark-12px-common
锵	U+9535	8369	ナ	1	15	60	29	74	no	ark-12px-common
为	U+4E3A	836A	ニ	1	30	60	44	74	no	ark-12px-common
苏	U+82CF	836B	ヌ	1	45	60	59	74	no	ark-12px-common
错	U+9519	836C	ネ	1	60	60	74	74	no	ark-12px-common
嗯	U+55EF	836D	ノ	1	75	60	89	74	no	ark-12px-common
嘻	U+563B	836E	ハ	1	90	60	104	74	no	ark-12px-common
唯	U+552F	836F	バ	1	105	60	119	74	no	ark-12px-common
圣	U+5723	8370	パ	1	120	60	134	74	no	ark-12px-common
论	U+8BBA	8371	ヒ	1	135	60	149	74	no	ark-12px-common
怎	U+600E	8372	ビ	1	150	60	164	74	no	ark-12px-common
如	U+5982	8373	ピ	1	165	60	179	74	no	ark-12px-common
惊	U+60CA	8375	ブ	1	195	60	209	74	no	ark-12px-common
洞	U+6D1E	8376	プ	1	210	60	224	74	no	ark-12px-common
耗	U+8017	8377	ヘ	1	225	60	239	74	no	ark-12px-common
弃	U+5F03	8378	ベ	1	240	60	254	74	no	ark-12px-common
于	U+4E8E	837A	ホ	1	15	75	29	89	no	ark-12px-common
盛	U+76DB	837B	ボ	1	30	75	44	89	no	ark-12px-common
态	U+6001	837C	ポ	1	45	75	59	89	no	ark-12px-common
贯	U+8D2F	837D	マ	1	60	75	74	89	no	ark-12px-common
穿	U+7A7F	837E	ミ	1	75	75	89	89	no	ark-12px-common
牌	U+724C	8380	ム	1	90	75	104	89	no	ark-12px-common
层	U+5C42	8381	メ	1	105	75	119	89	no	ark-12px-common
往	U+5F80	8382	モ	1	120	75	134	89	no	ark-12px-common
狱	U+72F1	8383	ャ	1	135	75	149	89	no	ark-12px-common
甩	U+7529	8384	ヤ	1	150	75	164	89	no	ark-12px-common
股	U+80A1	8386	ユ	1	180	75	194	89	no	ark-12px-common
靠	U+9760	8387	ョ	1	195	75	209	89	no	ark-12px-zh_cn
蹈	U+8E48	8388	ヨ	1	210	75	224	89	no	ark-12px-common
饭	U+996D	8389	ラ	1	225	75	239	89	no	ark-12px-common
夺	U+593A	838A	リ	1	240	75	254	89	no	ark-12px-common
头	U+5934	838B	ル	1	0	90	14	104	no	ark-12px-common
扔	U+6254	838C	レ	1	15	90	29	104	no	ark-12px-common
脑	U+8111	838D	ロ	1	30	90	44	104	no	ark-12px-common
浸	U+6D78	838F	ワ	1	45	90	59	104	no	ark-12px-common
蹦	U+8E66	8392	ヲ	1	60	90	74	104	no	ark-12px-common
呵	U+5475	8393	ン	1	75	90	89	104	no	ark-12px-common
 	U+0020	8395	ヵ	1	105	90	119	104	no	ark-12px-common
艰	U+8270	8396	ヶ	1	120	90	134	104	no	ark-12px-common
且	U+4E14	83BF	α	1	135	90	149	104	no	ark-12px-common
遍	U+904D	83C0	β	1	150	90	164	104	no	ark-12px-common
五	U+4E94	83C3	ε	1	165	90	179	104	no	ark-12px-common
实	U+5B9E	83C4	ζ	1	180	90	194	104	no	ark-12px-common
赢	U+8D62	83C7	ι	1	195	90	209	104	no	ark-12px-common
胜	U+80DC	83CC	ξ	1	210	90	224	104	no	ark-12px-common
战	U+6218	83D6	ω	1	225	90	239	104	no	ark-12px-common
扯	U+626F	8444	Д	1	240	90	254	104	no	ark-12px-common
噢	U+5662	8448	З	1	0	105	14	119	no	ark-12px-common
决	U+51B3	845E	Э	1	15	105	29	119	no	ark-12px-common
银	U+94F6	8474	д	1	30	105	44	119	no	ark-12px-common
甜	U+751C	8478	з	1	45	105	59	119	no	ark-12px-common
圈	U+5708	848F	э	1	60	105	74	119	no	ark-12px-common
虚	U+865A	849F	─	1	75	105	89	119	no	ark-12px-common
耍	U+800D	84AA	━	1	90	105	104	119	no	ark-12px-common
转	U+8F6C	84AE	┛	1	105	105	119	119	no	ark-12px-common
攒	U+6512	8756		1	120	105	134	119	no	ark-12px-common
终	U+7EC8	875B		1	135	105	149	119	no	ark-12px-common
叽	U+53FD	88A2	阿	1	150	105	164	119	no	ark-12px-common
睹	U+7779	88A4	愛	1	165	105	179	119	no	ark-12px-common
遭	U+906D	88AB	悪	1	180	105	194	119	no	ark-12px-common
畏	U+754F	88B3	圧	1	195	105	209	119	no	ark-12px-common
惧	U+60E7	88B5	扱	1	210	105	224	119	no	ark-12px-common
妈	U+5988	88C4	案	1	0	120	14	134	no	ark-12px-common
随	U+968F	88CD	囲	1	60	120	74	134	no	ark-12px-common
彻	U+5F7B	88D7	為	1	120	120	134	134	no	ark-12px-common
灭	U+706D	88D9	異	1	135	120	149	134	no	ark-12px-common
岁	U+5C81	88E1	違	1	180	120	194	134	no	ark-12px-common
但	U+4F46	88E2	遺	1	195	120	209	134	no	ark-12px-common
刻	U+523B	88E3	医	1	210	120	224	134	no	ark-12px-common
嫉	U+5AC9	88E4	井	1	225	120	239	134	no	ark-12px-common
卡	U+5361	88E6	域	1	240	120	254	134	no	ark-12px-common
啰	U+5570	88EE	稲	1	30	135	44	149	no	ark-12px-common
罗	U+7F57	88F5	員	1	60	135	74	149	no	ark-12px-common
班	U+73ED	88F9	飲	1	90	135	104	149	no	fusion-12px-zh_hans
尽	U+5C3D	8942	隠	1	105	135	119	149	no	ark-12px-common
嗦	U+55E6	8949	迂	1	150	135	164	149	no	ark-12px-common
拖	U+62D6	8950	臼	1	165	135	179	149	no	fusion-12px-zh_hans
弹	U+5F39	8952	嘘	1	180	135	194	149	no	ark-12px-common
喽	U+55BD	8959	浦	1	195	135	209	149	no	ark-12px-common
拔	U+62D4	895C	噂	1	210	135	224	149	no	ark-12px-zh_cn
呢	U+5462	895E	運	1	225	135	239	149	no	ark-12px-common
护	U+62A4	8966	映	1	0	150	14	164	no	ark-12px-common
妒	U+5992	8968	栄	1	15	150	29	164	no	ark-12px-common
拜	U+62DC	8973	鋭	1	60	150	74	164	no	ark-12px-common
托	U+6258	8974	液	1	75	150	89	164	no	ark-12px-common
帮	U+5E2E	897E	円	1	105	150	119	164	no	ark-12px-common
忙	U+5FD9	8980	園	1	120	150	134	164	no	ark-12px-common
嘛	U+561B	898C	煙	1	165	150	179	164	no	ark-12px-common
较	U+8F83	898E	猿	1	180	150	194	164	no	ark-12px-common
见	U+89C1	8993	遠	1	195	150	209	164	no	ark-12px-common
哟	U+54DF	8998	汚	1	210	150	224	164	no	ark-12px-common
轻	U+8F7B	899E	応	1	225	150	239	164	no	ark-12px-common
玩	U+73A9	899F	押	1	240	150	254	164	no	ark-12px-common
既	U+65E2	89A1	横	1	0	165	14	179	no	fusion-12px-zh_hans
爷	U+7237	89AD	億	1	30	165	44	179	no	ark-12px-common
盯	U+76EF	89AF	憶	1	60	165	74	179	no	ark-12px-common
别	U+522B	89B3	乙	1	75	165	89	179	no	ark-12px-common
拿	U+62FF	89B4	俺	1	90	165	104	179	no	ark-12px-common
拙	U+62D9	89B9	音	1	120	165	134	179	no	ark-12px-common
办	U+529E	89BC	仮	1	165	165	179	179	no	ark-12px-common
请	U+8BF7	89BF	価	1	195	165	209	179	no	ark-12px-common
附	U+9644	89C5	嫁	1	240	165	254	179	no	ark-12px-common
极	U+6781	89C9	暇	1	30	180	44	194	no	ark-12px-common
乐	U+4E50	89CC	歌	1	60	180	74	194	no	ark-12px-common
红	U+7EA2	89D5	苛	1	105	180	119	194	no	ark-12px-common
至	U+81F3	89D7	荷	1	120	180	134	194	no	ark-12px-common
缝	U+7F1D	89D9	菓	1	135	180	149	194	no	ark-12px-common
延	U+5EF6	89DB	課	1	150	180	164	194	no	ark-12px-common
拉	U+62C9	89DF	過	1	165	180	179	194	no	ark-12px-common
爽	U+723D	89EE	介	1	225	180	239	194	no	ark-12px-common
酸	U+9178	89F3	壊	1	30	195	44	209	no	fusion-12px-zh_hans
赛	U+8D5B	89F9	懐	1	90	195	104	209	no	ark-12px-common
亚	U+4E9A	89FA	戒	1	105	195	119	209	no	ark-12px-common
众	U+4F17	8A46	皆	1	165	195	179	209	no	ark-12px-common
狠	U+72E0	8A47	絵	1	180	195	194	209	no	ark-12px-common
洗	U+6D17	8A4A	開	1	195	195	209	209	no	ark-12px-common
握	U+63E1	8A4B	階	1	210	195	224	209	no	ark-12px-common
耻	U+803B	8A67	拡	1	45	210	59	224	no	ark-12px-zh_cn
过	U+8FC7	8A6D	確	1	90	210	104	224	no	ark-12px-common
联	U+8054	8A6F	覚	1	105	210	119	224	no	ark-12px-zh_cn
应	U+5E94	8A72	較	1	135	210	149	224	no	ark-12px-common
础	U+7840	8A79	楽	1	165	210	179	224	no	ark-12px-common
擅	U+64C5	8A7A	額	1	180	210	194	224	no	ark-12px-common
啧	U+5567	8A7C	掛	1	195	210	209	224	no	ark-12px-common
暂	U+6682	8A84	割	1	210	210	224	224	no	ark-12px-common
径	U+5F84	8AA8	勘	1	0	225	14	239	no	ark-12px-common
咕	U+5495	8AA9	勧	1	15	225	29	239	no	ark-12px-common
寻	U+5BFB	8AAA	巻	1	30	225	44	239	no	ark-12px-common
沙	U+6C99	8AAB	喚	1	45	225	59	239	no	ark-12px-common
鲁	U+9C81	8AAD	姦	1	60	225	74	239	no	ark-12px-common
弗	U+5F17	8AB2	幹	1	90	225	104	239	no	ark-12px-common
萨	U+8428	8AB7	換	1	120	225	134	239	no	ark-12px-common
屏	U+5C4F	8ABF	漢	1	135	225	149	239	no	ark-12px-common
瘪	U+762A	8AC4	監	1	165	225	179	239	no	ark-12px-common
蛮	U+86EE	8AC8	簡	1	195	225	209	239	no	fusion-12px-zh_hans
咱	U+54B1	8ACC	肝	1	210	225	224	239	no	ark-12px-common
讲	U+8BB2	8ACF	観	1	225	225	239	239	no	ark-12px-common
听	U+542C	8AD1	貫	1	240	225	254	239	no	ark-12px-common
统	U+7EDF	8AD4	間	1	0	240	14	254	no	ark-12px-common
厌	U+538C	8AD5	閑	1	15	240	29	254	no	ark-12px-common
烦	U+70E6	8AD6	関	1	30	240	44	254	no	ark-12px-common
甚	U+751A	8ADB	丸	1	45	240	59	254	no	ark-12px-common
灯	U+706F	8AE7	顔	1	105	240	119	254	no	ark-12px-common
敌	U+654C	8AE8	願	1	120	240	134	254	no	ark-12px-common
刁	U+5201	8AF0	嬉	1	210	240	224	254	no	ark-12px-common
呃	U+5443	8AF1	寄	1	225	240	239	254	no	ark-12px-common
聊	U+804A	8AF2	岐	1	240	240	254	254	no	ark-12px-common
挥	U+6325	8B40	機	2	30	0	44	14	no	ark-12px-common
泡	U+6CE1	8B41	帰	2	45	0	59	14	no	ark-12px-common
举	U+4E3E	8B43	気	2	60	0	74	14	no	ark-12px-common
射	U+5C04	8B46	祈	2	75	0	89	14	no	ark-12px-common
门	U+95E8	8B47	季	2	90	0	104	14	no	ark-12px-common
黑	U+9ED1	8B4B	規	2	105	0	119	14	no	ark-12px-common
