priority	code_hex	native_character	page	x0	y0	x1	y1	used_in_original_jp_scripts	status	warning
9999	00D5	ﾕ	0	0	75	8	89	no	reserved	
9999	00D6	ﾖ	0	9	75	17	89	no	reserved	
9999	00D7	ﾗ	0	18	75	26	89	no	reserved	
9999	00D8	ﾘ	0	27	75	35	89	no	reserved	
9999	00D9	ﾙ	0	36	75	44	89	no	reserved	
9999	00DA	ﾚ	0	45	75	53	89	no	reserved	
9999	00DB	ﾛ	0	54	75	62	89	no	reserved	
9999	00DC	ﾜ	0	63	75	71	89	no	reserved	
9999	00DD	ﾝ	0	72	75	80	89	no	reserved	
9999	00DE	ﾞ	0	81	75	89	89	no	reserved	
9999	00DF	ﾟ	0	90	75	98	89	no	reserved	
9999	8140	　	0	99	75	113	89	yes	used_original_script	
9999	8141	、	0	114	75	128	89	yes	used_original_script	
9999	8142	。	0	129	75	143	89	yes	used_original_script	
9999	8144	．	0	144	75	158	89	yes	used_original_script	
9999	8145	・	0	159	75	173	89	yes	used_original_script	
9999	8146	：	0	174	75	188	89	no	reserved	
9999	8147	；	0	189	75	203	89	no	reserved	
9999	8148	？	0	204	75	218	89	yes	used_original_script	
9999	8149	！	0	219	75	233	89	yes	used_original_script	
9999	814B	゜	0	234	75	248	89	no	reserved	
9999	814C	´	0	0	90	14	104	no	reserved	
9999	814D	｀	0	15	90	29	104	no	reserved	
9999	814F	＾	0	30	90	44	104	no	reserved	
9999	8150	￣	0	45	90	59	104	no	reserved	
9999	8151	＿	0	60	90	74	104	no	reserved	
9999	8152	ヽ	0	75	90	89	104	no	reserved	
9999	8154	ゝ	0	90	90	104	104	no	reserved	
9999	8158	々	0	105	90	119	104	yes	used_original_script	
9999	815B	ー	0	120	90	134	104	yes	used_original_script	
9999	815C	―	0	135	90	149	104	no	reserved	
9999	815E	／	0	150	90	164	104	no	reserved	
9999	815F	＼	0	165	90	179	104	no	reserved	
9999	8160	〜	0	180	90	194	104	yes	used_original_script	
9999	8161	‖	0	195	90	209	104	no	reserved	
9999	8162	｜	0	210	90	224	104	no	reserved	
9999	8163	…	0	225	90	239	104	yes	used_original_script	
9999	8165	‘	0	240	90	254	104	no	reserved	
9999	8166	’	0	0	105	14	119	no	reserved	
9999	8168	”	0	15	105	29	119	no	reserved	
9999	8169	（	0	30	105	44	119	yes	used_original_script	
9999	816A	）	0	45	105	59	119	yes	used_original_script	
9999	816F	｛	0	60	105	74	119	no	reserved	
9999	8170	｝	0	75	105	89	119	no	reserved	
9999	8173	《	0	90	105	104	119	no	reserved	
9999	8174	》	0	105	105	119	119	no	reserved	
9999	8175	「	0	120	105	134	119	yes	used_original_script	
9999	8176	」	0	135	105	149	119	yes	used_original_script	
9999	8177	『	0	150	105	164	119	yes	used_original_script	
9999	8178	』	0	165	105	179	119	yes	used_original_script	
9999	8179	【	0	180	105	194	119	no	reserved	
9999	817A	】	0	195	105	209	119	no	reserved	
9999	817B	＋	0	210	105	224	119	yes	used_original_script	
9999	817C	−	0	225	105	239	119	no	reserved	
9999	817E	×	0	240	105	254	119	no	reserved	
9999	8180	÷	0	0	120	14	134	no	reserved	
9999	8181	＝	0	15	120	29	134	no	reserved	
9999	8182	≠	0	30	120	44	134	no	reserved	
9999	8183	＜	0	45	120	59	134	no	reserved	
9999	8184	＞	0	60	120	74	134	no	reserved	
9999	8186	≧	0	75	120	89	134	no	reserved	
9999	8187	∞	0	90	120	104	134	no	reserved	
9999	818F	￥	0	105	120	119	134	no	reserved	
9999	8190	＄	0	120	120	134	134	no	reserved	
9999	8192	£	0	135	120	149	134	no	reserved	
9999	8193	％	0	150	120	164	134	yes	used_original_script	
9999	8194	＃	0	165	120	179	134	no	reserved	
9999	8195	＆	0	180	120	194	134	yes	used_original_script	
9999	8196	＊	0	195	120	209	134	no	reserved	
9999	8197	＠	0	210	120	224	134	no	reserved	
9999	8199	☆	0	225	120	239	134	no	reserved	
9999	819A	★	0	240	120	254	134	no	reserved	
9999	819B	○	0	0	135	14	149	no	reserved	
9999	819C	●	0	15	135	29	149	no	reserved	
9999	819E	◇	0	30	135	44	149	no	reserved	
9999	819F	◆	0	45	135	59	149	no	reserved	
9999	81A1	■	0	60	135	74	149	no	reserved	
9999	81A6	※	0	75	135	89	149	no	reserved	
9999	81A8	→	0	90	135	104	149	no	reserved	
9999	81A9	←	0	105	135	119	149	no	reserved	
9999	81AA	↑	0	120	135	134	149	no	reserved	
9999	81AB	↓	0	135	135	149	149	no	reserved	
9999	81B9	∋	0	150	135	164	149	no	reserved	
9999	81BC	⊂	0	165	135	179	149	no	reserved	
9999	81BE	∪	0	180	135	194	149	no	reserved	
9999	81C9	∨	0	195	135	209	149	no	reserved	
9999	81CD	∀	0	210	135	224	149	no	reserved	
9999	81DA	∠	0	225	135	239	149	no	reserved	
9999	81DC	⌒	0	240	135	254	149	no	reserved	
9999	81DF	≡	0	0	150	14	164	no	reserved	
9999	81E0	≒	0	15	150	29	164	no	reserved	
9999	81E2	≫	0	30	150	44	164	no	reserved	
9999	81E3	√	0	45	150	59	164	no	reserved	
9999	81F4	♪	0	60	150	74	164	no	reserved	
9999	824F	０	0	75	150	89	164	yes	used_original_script	
9999	8250	１	0	90	150	104	164	yes	used_original_script	
9999	8251	２	0	105	150	119	164	yes	used_original_script	
9999	8252	３	0	120	150	134	164	yes	used_original_script	
9999	8253	４	0	135	150	149	164	no	reserved	
9999	8254	５	0	150	150	164	164	yes	used_original_script	
9999	8255	６	0	165	150	179	164	yes	used_original_script	
9999	8256	７	0	180	150	194	164	yes	used_original_script	
9999	8257	８	0	195	150	209	164	yes	used_original_script	
9999	8258	９	0	210	150	224	164	no	reserved	
9999	8260	Ａ	0	225	150	239	164	yes	used_original_script	
9999	8261	Ｂ	0	240	150	254	164	yes	used_original_script	
9999	8262	Ｃ	0	0	165	14	179	no	reserved	
9999	8263	Ｄ	0	15	165	29	179	yes	used_original_script	
9999	8264	Ｅ	0	30	165	44	179	no	reserved	
9999	8265	Ｆ	0	45	165	59	179	no	reserved	
9999	8266	Ｇ	0	60	165	74	179	yes	used_original_script	
9999	8267	Ｈ	0	75	165	89	179	no	reserved	
9999	8268	Ｉ	0	90	165	104	179	no	reserved	
9999	8269	Ｊ	0	105	165	119	179	no	reserved	
9999	826A	Ｋ	0	120	165	134	179	yes	used_original_script	
9999	826B	Ｌ	0	135	165	149	179	yes	used_original_script	
9999	826C	Ｍ	0	150	165	164	179	yes	used_original_script	
9999	826D	Ｎ	0	165	165	179	179	no	reserved	
9999	826E	Ｏ	0	180	165	194	179	no	reserved	
9999	826F	Ｐ	0	195	165	209	179	yes	used_original_script	
9999	8270	Ｑ	0	210	165	224	179	no	reserved	
9999	8271	Ｒ	0	225	165	239	179	yes	used_original_script	
9999	8272	Ｓ	0	240	165	254	179	yes	used_original_script	
9999	8273	Ｔ	0	0	180	14	194	yes	used_original_script	
9999	8274	Ｕ	0	15	180	29	194	no	reserved	
9999	8275	Ｖ	0	30	180	44	194	yes	used_original_script	
9999	8276	Ｗ	0	45	180	59	194	no	reserved	
9999	8277	Ｘ	0	60	180	74	194	yes	used_original_script	
9999	8278	Ｙ	0	75	180	89	194	yes	used_original_script	
9999	8279	Ｚ	0	90	180	104	194	no	reserved	
9999	8281	ａ	0	105	180	119	194	no	reserved	
9999	8282	ｂ	0	120	180	134	194	no	reserved	
9999	8283	ｃ	0	135	180	149	194	no	reserved	
9999	8284	ｄ	0	150	180	164	194	no	reserved	
9999	8285	ｅ	0	165	180	179	194	no	reserved	
9999	8286	ｆ	0	180	180	194	194	no	reserved	
9999	8287	ｇ	0	195	180	209	194	no	reserved	
9999	8288	ｈ	0	210	180	224	194	no	reserved	
9999	8289	ｉ	0	225	180	239	194	no	reserved	
9999	828A	ｊ	0	240	180	254	194	no	reserved	
9999	828B	ｋ	0	0	195	14	209	no	reserved	
9999	828C	ｌ	0	15	195	29	209	no	reserved	
9999	828D	ｍ	0	30	195	44	209	no	reserved	
9999	828E	ｎ	0	45	195	59	209	no	reserved	
9999	828F	ｏ	0	60	195	74	209	no	reserved	
9999	8290	ｐ	0	75	195	89	209	no	reserved	
9999	8291	ｑ	0	90	195	104	209	no	reserved	
9999	8292	ｒ	0	105	195	119	209	no	reserved	
9999	8293	ｓ	0	120	195	134	209	no	reserved	
9999	8294	ｔ	0	135	195	149	209	no	reserved	
9999	8295	ｕ	0	150	195	164	209	no	reserved	
9999	8296	ｖ	0	165	195	179	209	no	reserved	
9999	8297	ｗ	0	180	195	194	209	no	reserved	
9999	8298	ｘ	0	195	195	209	209	no	reserved	
9999	8299	ｙ	0	210	195	224	209	no	reserved	
9999	829A	ｚ	0	225	195	239	209	no	reserved	
9999	829F	ぁ	0	240	195	254	209	yes	used_original_script	
9999	82A0	あ	0	0	210	14	224	yes	used_original_script	
9999	82A1	ぃ	0	15	210	29	224	yes	used_original_script	
9999	82A2	い	0	30	210	44	224	yes	used_original_script	
9999	82A3	ぅ	0	45	210	59	224	yes	used_original_script	
9999	82A4	う	0	60	210	74	224	yes	used_original_script	
9999	82A5	ぇ	0	75	210	89	224	yes	used_original_script	
9999	82A6	え	0	90	210	104	224	yes	used_original_script	
9999	82A7	ぉ	0	105	210	119	224	yes	used_original_script	
9999	82A8	お	0	120	210	134	224	yes	used_original_script	
9999	82A9	か	0	135	210	149	224	yes	used_original_script	
9999	82AA	が	0	150	210	164	224	yes	used_original_script	
9999	82AB	き	0	165	210	179	224	yes	used_original_script	
9999	82AC	ぎ	0	180	210	194	224	yes	used_original_script	
9999	82AD	く	0	195	210	209	224	yes	used_original_script	
9999	82AE	ぐ	0	210	210	224	224	yes	used_original_script	
9999	82AF	け	0	225	210	239	224	yes	used_original_script	
9999	82B0	げ	0	240	210	254	224	yes	used_original_script	
9999	82B1	こ	0	0	225	14	239	yes	used_original_script	
9999	82B2	ご	0	15	225	29	239	yes	used_original_script	
9999	82B3	さ	0	30	225	44	239	yes	used_original_script	
9999	82B4	ざ	0	45	225	59	239	yes	used_original_script	
9999	82B5	し	0	60	225	74	239	yes	used_original_script	
9999	82B6	じ	0	75	225	89	239	yes	used_original_script	
9999	82B7	す	0	90	225	104	239	yes	used_original_script	
9999	82B8	ず	0	105	225	119	239	yes	used_original_script	
9999	82B9	せ	0	120	225	134	239	yes	used_original_script	
9999	82BA	ぜ	0	135	225	149	239	yes	used_original_script	
9999	82BB	そ	0	150	225	164	239	yes	used_original_script	
9999	82BC	ぞ	0	165	225	179	239	yes	used_original_script	
9999	82BD	た	0	180	225	194	239	yes	used_original_script	
9999	82BE	だ	0	195	225	209	239	yes	used_original_script	
9999	82BF	ち	0	210	225	224	239	yes	used_original_script	
9999	82C0	ぢ	0	225	225	239	239	yes	used_original_script	
9999	82C1	っ	0	240	225	254	239	yes	used_original_script	
9999	82C2	つ	0	0	240	14	254	yes	used_original_script	
9999	82C3	づ	0	15	240	29	254	yes	used_original_script	
9999	82C4	て	0	30	240	44	254	yes	used_original_script	
9999	82C5	で	0	45	240	59	254	yes	used_original_script	
9999	82C6	と	0	60	240	74	254	yes	used_original_script	
9999	82C7	ど	0	75	240	89	254	yes	used_original_script	
9999	82C8	な	0	90	240	104	254	yes	used_original_script	
9999	82C9	に	0	105	240	119	254	yes	used_original_script	
9999	82CA	ぬ	0	120	240	134	254	yes	used_original_script	
9999	82CB	ね	0	135	240	149	254	yes	used_original_script	
9999	82CC	の	0	150	240	164	254	yes	used_original_script	
9999	82CD	は	0	165	240	179	254	yes	used_original_script	
9999	82CE	ば	0	180	240	194	254	yes	used_original_script	
9999	82CF	ぱ	0	195	240	209	254	yes	used_original_script	
9999	82D0	ひ	0	210	240	224	254	yes	used_original_script	
9999	82D1	び	0	225	240	239	254	yes	used_original_script	
9999	82D2	ぴ	0	240	240	254	254	yes	used_original_script	
9999	82D3	ふ	1	0	0	14	14	yes	used_original_script	
9999	82D4	ぶ	1	15	0	29	14	yes	used_original_script	
9999	82D5	ぷ	1	30	0	44	14	yes	used_original_script	
9999	82D6	へ	1	45	0	59	14	yes	used_original_script	
9999	82D7	べ	1	60	0	74	14	yes	used_original_script	
9999	82D8	ぺ	1	75	0	89	14	yes	used_original_script	
9999	82D9	ほ	1	90	0	104	14	yes	used_original_script	
9999	82DA	ぼ	1	105	0	119	14	yes	used_original_script	
9999	82DB	ぽ	1	120	0	134	14	yes	used_original_script	
9999	82DC	ま	1	135	0	149	14	yes	used_original_script	
9999	82DD	み	1	150	0	164	14	yes	used_original_script	
9999	82DE	む	1	165	0	179	14	yes	used_original_script	
9999	82DF	め	1	180	0	194	14	yes	used_original_script	
9999	82E0	も	1	195	0	209	14	yes	used_original_script	
9999	82E1	ゃ	1	210	0	224	14	yes	used_original_script	
9999	82E2	や	1	225	0	239	14	yes	used_original_script	
9999	82E3	ゅ	1	240	0	254	14	yes	used_original_script	
9999	82E4	ゆ	1	0	15	14	29	yes	used_original_script	
9999	82E5	ょ	1	15	15	29	29	yes	used_original_script	
9999	82E6	よ	1	30	15	44	29	yes	used_original_script	
9999	82E7	ら	1	45	15	59	29	yes	used_original_script	
9999	82E8	り	1	60	15	74	29	yes	used_original_script	
9999	82E9	る	1	75	15	89	29	yes	used_original_script	
9999	82EA	れ	1	90	15	104	29	yes	used_original_script	
9999	82EB	ろ	1	105	15	119	29	yes	used_original_script	
9999	82ED	わ	1	120	15	134	29	yes	used_original_script	
9999	82F0	を	1	135	15	149	29	yes	used_original_script	
9999	82F1	ん	1	150	15	164	29	yes	used_original_script	
9999	8340	ァ	1	165	15	179	29	yes	used_original_script	
9999	8341	ア	1	180	15	194	29	yes	used_original_script	
9999	8342	ィ	1	195	15	209	29	yes	used_original_script	
9999	8343	イ	1	210	15	224	29	yes	used_original_script	
9999	8344	ゥ	1	225	15	239	29	yes	used_original_script	
9999	8345	ウ	1	240	15	254	29	yes	used_original_script	
9999	8346	ェ	1	0	30	14	44	yes	used_original_script	
9999	8347	エ	1	15	30	29	44	yes	used_original_script	
9999	8348	ォ	1	30	30	44	44	yes	used_original_script	
9999	8349	オ	1	45	30	59	44	yes	used_original_script	
9999	834A	カ	1	60	30	74	44	yes	used_original_script	
9999	834B	ガ	1	75	30	89	44	yes	used_original_script	
9999	834C	キ	1	90	30	104	44	yes	used_original_script	
9999	834D	ギ	1	105	30	119	44	yes	used_original_script	
9999	834E	ク	1	120	30	134	44	yes	used_original_script	
9999	834F	グ	1	135	30	149	44	yes	used_original_script	
9999	8350	ケ	1	150	30	164	44	yes	used_original_script	
9999	8351	ゲ	1	165	30	179	44	yes	used_original_script	
9999	8352	コ	1	180	30	194	44	yes	used_original_script	
9999	8353	ゴ	1	195	30	209	44	yes	used_original_script	
9999	8354	サ	1	210	30	224	44	yes	used_original_script	
9999	8355	ザ	1	225	30	239	44	yes	used_original_script	
9999	8356	シ	1	240	30	254	44	yes	used_original_script	
9999	8357	ジ	1	0	45	14	59	yes	used_original_script	
9999	8358	ス	1	15	45	29	59	yes	used_original_script	
9999	8359	ズ	1	30	45	44	59	yes	used_original_script	
9999	835A	セ	1	45	45	59	59	yes	used_original_script	
9999	835B	ゼ	1	60	45	74	59	yes	used_original_script	
9999	835C	ソ	1	75	45	89	59	yes	used_original_script	
9999	835D	ゾ	1	90	45	104	59	no	reserved	
9999	835E	タ	1	105	45	119	59	yes	used_original_script	
9999	835F	ダ	1	120	45	134	59	yes	used_original_script	
9999	8360	チ	1	135	45	149	59	yes	used_original_script	
9999	8361	ヂ	1	150	45	164	59	no	reserved	
9999	8362	ッ	1	165	45	179	59	yes	used_original_script	
9999	8363	ツ	1	180	45	194	59	yes	used_original_script	
9999	8364	ヅ	1	195	45	209	59	no	reserved	
9999	8365	テ	1	210	45	224	59	yes	used_original_script	
9999	8366	デ	1	225	45	239	59	yes	used_original_script	
9999	8367	ト	1	240	45	254	59	yes	used_original_script	
9999	8368	ド	1	0	60	14	74	yes	used_original_script	
9999	8369	ナ	1	15	60	29	74	yes	used_original_script	
9999	836A	ニ	1	30	60	44	74	yes	used_original_script	
9999	836B	ヌ	1	45	60	59	74	yes	used_original_script	
9999	836C	ネ	1	60	60	74	74	yes	used_original_script	
9999	836D	ノ	1	75	60	89	74	yes	used_original_script	
9999	836E	ハ	1	90	60	104	74	yes	used_original_script	
9999	836F	バ	1	105	60	119	74	yes	used_original_script	
9999	8370	パ	1	120	60	134	74	yes	used_original_script	
9999	8371	ヒ	1	135	60	149	74	yes	used_original_script	
9999	8372	ビ	1	150	60	164	74	yes	used_original_script	
9999	8373	ピ	1	165	60	179	74	yes	used_original_script	
9999	8374	フ	1	180	60	194	74	yes	used_original_script	
9999	8375	ブ	1	195	60	209	74	yes	used_original_script	
9999	8376	プ	1	210	60	224	74	yes	used_original_script	
9999	8377	ヘ	1	225	60	239	74	yes	used_original_script	
9999	8378	ベ	1	240	60	254	74	yes	used_original_script	
9999	8379	ペ	1	0	75	14	89	yes	used_original_script	
9999	837A	ホ	1	15	75	29	89	yes	used_original_script	
9999	837B	ボ	1	30	75	44	89	yes	used_original_script	
9999	837C	ポ	1	45	75	59	89	yes	used_original_script	
9999	837D	マ	1	60	75	74	89	yes	used_original_script	
9999	837E	ミ	1	75	75	89	89	yes	used_original_script	
9999	8380	ム	1	90	75	104	89	yes	used_original_script	
9999	8381	メ	1	105	75	119	89	yes	used_original_script	
9999	8382	モ	1	120	75	134	89	yes	used_original_script	
9999	8383	ャ	1	135	75	149	89	yes	used_original_script	
9999	8384	ヤ	1	150	75	164	89	yes	used_original_script	
9999	8385	ュ	1	165	75	179	89	yes	used_original_script	
9999	8386	ユ	1	180	75	194	89	no	reserved	
9999	8387	ョ	1	195	75	209	89	yes	used_original_script	
9999	8388	ヨ	1	210	75	224	89	no	reserved	
9999	8389	ラ	1	225	75	239	89	yes	used_original_script	
9999	838A	リ	1	240	75	254	89	yes	used_original_script	
9999	838B	ル	1	0	90	14	104	yes	used_original_script	
9999	838C	レ	1	15	90	29	104	yes	used_original_script	
9999	838D	ロ	1	30	90	44	104	yes	used_original_script	
9999	838F	ワ	1	45	90	59	104	yes	used_original_script	
9999	8392	ヲ	1	60	90	74	104	no	reserved	
9999	8393	ン	1	75	90	89	104	yes	used_original_script	
9999	8394	ヴ	1	90	90	104	104	no	reserved	
9999	8395	ヵ	1	105	90	119	104	yes	used_original_script	
9999	8396	ヶ	1	120	90	134	104	yes	used_original_script	
9999	83BF	α	1	135	90	149	104	no	reserved	
9999	83C0	β	1	150	90	164	104	no	reserved	
9999	83C3	ε	1	165	90	179	104	no	reserved	
9999	83C4	ζ	1	180	90	194	104	no	reserved	
9999	83C7	ι	1	195	90	209	104	no	reserved	
9999	83CC	ξ	1	210	90	224	104	no	reserved	
9999	83D6	ω	1	225	90	239	104	no	reserved	
9999	8444	Д	1	240	90	254	104	no	reserved	
9999	8448	З	1	0	105	14	119	no	reserved	
9999	845E	Э	1	15	105	29	119	no	reserved	
9999	8474	д	1	30	105	44	119	no	reserved	
9999	8478	з	1	45	105	59	119	no	reserved	
9999	848F	э	1	60	105	74	119	no	reserved	
9999	849F	─	1	75	105	89	119	no	reserved	
9999	84AA	━	1	90	105	104	119	no	reserved	
9999	84AE	┛	1	105	105	119	119	no	reserved	
9999	8756		1	120	105	134	119	no	reserved	
9999	875B		1	135	105	149	119	no	reserved	
9999	88A2	阿	1	150	105	164	119	no	reserved	
9999	88A4	愛	1	165	105	179	119	yes	used_original_script	
9999	88AB	悪	1	180	105	194	119	yes	used_original_script	
9999	88B3	圧	1	195	105	209	119	yes	used_original_script	
9999	88B5	扱	1	210	105	224	119	no	reserved	
9999	88C0	安	1	225	105	239	119	yes	used_original_script	
9999	88C3	暗	1	240	105	254	119	yes	used_original_script	
9999	88C4	案	1	0	120	14	134	yes	used_original_script	
9999	88C8	以	1	15	120	29	134	yes	used_original_script	
9999	88CA	位	1	30	120	44	134	yes	used_original_script	
9999	88CB	依	1	45	120	59	134	no	reserved	
9999	88CD	囲	1	60	120	74	134	yes	used_original_script	
9999	88D0	威	1	75	120	89	134	yes	used_original_script	
9999	88D3	意	1	90	120	104	134	yes	used_original_script	
9999	88D5	易	1	105	120	119	134	yes	used_original_script	
9999	88D7	為	1	120	120	134	134	no	reserved	
9999	88D9	異	1	135	120	149	134	yes	used_original_script	
9999	88DA	移	1	150	120	164	134	yes	used_original_script	
