index	arm9_relative_offset	page	code_hex	native_character	x0	y0	x1	y1	width	height
49	000C8BC4	0	0052	R	189	15	197	29	9	15
50	000C8BD0	0	0053	S	198	15	206	29	9	15
51	000C8BDC	0	0054	T	207	15	215	29	9	15
52	000C8BE8	0	0055	U	216	15	224	29	9	15
53	000C8BF4	0	0056	V	225	15	233	29	9	15
54	000C8C00	0	0057	W	234	15	242	29	9	15
55	000C8C0C	0	0058	X	243	15	251	29	9	15
56	000C8C18	0	0059	Y	0	30	8	44	9	15
57	000C8C24	0	005A	Z	9	30	17	44	9	15
58	000C8C30	0	005B	[	18	30	26	44	9	15
59	000C8C3C	0	005C	\	27	30	35	44	9	15
60	000C8C48	0	005D	]	36	30	44	44	9	15
61	000C8C54	0	005E	^	45	30	53	44	9	15
62	000C8C60	0	005F	_	54	30	62	44	9	15
63	000C8C6C	0	0060	`	63	30	71	44	9	15
64	000C8C78	0	0061	a	72	30	80	44	9	15
65	000C8C84	0	0062	b	81	30	89	44	9	15
66	000C8C90	0	0063	c	90	30	98	44	9	15
67	000C8C9C	0	0064	d	99	30	107	44	9	15
68	000C8CA8	0	0065	e	108	30	116	44	9	15
69	000C8CB4	0	0066	f	117	30	125	44	9	15
70	000C8CC0	0	0067	g	126	30	134	44	9	15
71	000C8CCC	0	0068	h	135	30	143	44	9	15
72	000C8CD8	0	0069	i	144	30	152	44	9	15
73	000C8CE4	0	006A	j	153	30	161	44	9	15
74	000C8CF0	0	006B	k	162	30	170	44	9	15
75	000C8CFC	0	006C	l	171	30	179	44	9	15
76	000C8D08	0	006D	m	180	30	188	44	9	15
77	000C8D14	0	006E	n	189	30	197	44	9	15
78	000C8D20	0	006F	o	198	30	206	44	9	15
79	000C8D2C	0	0070	p	207	30	215	44	9	15
80	000C8D38	0	0071	q	216	30	224	44	9	15
81	000C8D44	0	0072	r	225	30	233	44	9	15
82	000C8D50	0	0073	s	234	30	242	44	9	15
83	000C8D5C	0	0074	t	243	30	251	44	9	15
84	000C8D68	0	0075	u	0	45	8	59	9	15
85	000C8D74	0	0076	v	9	45	17	59	9	15
86	000C8D80	0	0077	w	18	45	26	59	9	15
87	000C8D8C	0	0078	x	27	45	35	59	9	15
88	000C8D98	0	0079	y	36	45	44	59	9	15
89	000C8DA4	0	007A	z	45	45	53	59	9	15
90	000C8DB0	0	007B	{	54	45	62	59	9	15
91	000C8DBC	0	007C	|	63	45	71	59	9	15
92	000C8DC8	0	007D	}	72	45	80	59	9	15
93	000C8DD4	0	007E	~	81	45	89	59	9	15
94	000C8DE0	0	00A1	｡	90	45	98	59	9	15
95	000C8DEC	0	00A4	､	99	45	107	59	9	15
96	000C8DF8	0	00A5	･	108	45	116	59	9	15
97	000C8E04	0	00A6	ｦ	117	45	125	59	9	15
98	000C8E10	0	00A7	ｧ	126	45	134	59	9	15
99	000C8E1C	0	00AC	ｬ	135	45	143	59	9	15
100	000C8E28	0	00AD	ｭ	144	45	152	59	9	15
101	000C8E34	0	00AE	ｮ	153	45	161	59	9	15
102	000C8E40	0	00AF	ｯ	162	45	170	59	9	15
103	000C8E4C	0	00B0	ｰ	171	45	179	59	9	15
104	000C8E58	0	00B1	ｱ	180	45	188	59	9	15
105	000C8E64	0	00B2	ｲ	189	45	197	59	9	15
106	000C8E70	0	00B3	ｳ	198	45	206	59	9	15
107	000C8E7C	0	00B4	ｴ	207	45	215	59	9	15
108	000C8E88	0	00B5	ｵ	216	45	224	59	9	15
109	000C8E94	0	00B6	ｶ	225	45	233	59	9	15
110	000C8EA0	0	00B7	ｷ	234	45	242	59	9	15
111	000C8EAC	0	00B8	ｸ	243	45	251	59	9	15
112	000C8EB8	0	00B9	ｹ	0	60	8	74	9	15
113	000C8EC4	0	00BA	ｺ	9	60	17	74	9	15
114	000C8ED0	0	00BB	ｻ	18	60	26	74	9	15
115	000C8EDC	0	00BC	ｼ	27	60	35	74	9	15
116	000C8EE8	0	00BD	ｽ	36	60	44	74	9	15
117	000C8EF4	0	00BE	ｾ	45	60	53	74	9	15
118	000C8F00	0	00BF	ｿ	54	60	62	74	9	15
119	000C8F0C	0	00C0	ﾀ	63	60	71	74	9	15
120	000C8F18	0	00C1	ﾁ	72	60	80	74	9	15
121	000C8F24	0	00C2	ﾂ	81	60	89	74	9	15
122	000C8F30	0	00C3	ﾃ	90	60	98	74	9	15
123	000C8F3C	0	00C4	ﾄ	99	60	107	74	9	15
124	000C8F48	0	00C5	ﾅ	108	60	116	74	9	15
125	000C8F54	0	00C6	ﾆ	117	60	125	74	9	15
126	000C8F60	0	00C7	ﾇ	126	60	134	74	9	15
127	000C8F6C	0	00C8	ﾈ	135	60	143	74	9	15
128	000C8F78	0	00C9	ﾉ	144	60	152	74	9	15
129	000C8F84	0	00CA	ﾊ	153	60	161	74	9	15
130	000C8F90	0	00CB	ﾋ	162	60	170	74	9	15
131	000C8F9C	0	00CC	ﾌ	171	60	179	74	9	15
132	000C8FA8	0	00CD	ﾍ	180	60	188	74	9	15
133	000C8FB4	0	00CE	ﾎ	189	60	197	74	9	15
134	000C8FC0	0	00CF	ﾏ	198	60	206	74	9	15
135	000C8FCC	0	00D0	ﾐ	207	60	215	74	9	15
136	000C8FD8	0	00D1	ﾑ	216	60	224	74	9	15
137	000C8FE4	0	00D2	ﾒ	225	60	233	74	9	15
138	000C8FF0	0	00D3	ﾓ	234	60	242	74	9	15
139	000C8FFC	0	00D4	ﾔ	243	60	251	74	9	15
140	000C9008	0	00D5	ﾕ	0	75	8	89	9	15
141	000C9014	0	00D6	ﾖ	9	75	17	89	9	15
142	000C9020	0	00D7	ﾗ	18	75	26	89	9	15
143	000C902C	0	00D8	ﾘ	27	75	35	89	9	15
144	000C9038	0	00D9	ﾙ	36	75	44	89	9	15
145	000C9044	0	00DA	ﾚ	45	75	53	89	9	15
146	000C9050	0	00DB	ﾛ	54	75	62	89	9	15
147	000C905C	0	00DC	ﾜ	63	75	71	89	9	15
148	000C9068	0	00DD	ﾝ	72	75	80	89	9	15
149	000C9074	0	00DE	ﾞ	81	75	89	89	9	15
150	000C9080	0	00DF	ﾟ	90	75	98	89	9	15
151	000C908C	0	8140	　	99	75	113	89	15	15
152	000C9098	0	8141	、	114	75	128	89	15	15
153	000C90A4	0	8142	。	129	75	143	89	15	15
154	000C90B0	0	8144	．	144	75	158	89	15	15
155	000C90BC	0	8145	・	159	75	173	89	15	15
156	000C90C8	0	8146	：	174	75	188	89	15	15
157	000C90D4	0	8147	；	189	75	203	89	15	15
158	000C90E0	0	8148	？	204	75	218	89	15	15
159	000C90EC	0	8149	！	219	75	233	89	15	15
160	000C90F8	0	814B	゜	234	75	248	89	15	15
161	000C9104	0	814C	´	0	90	14	104	15	15
162	000C9110	0	814D	｀	15	90	29	104	15	15
163	000C911C	0	814F	＾	30	90	44	104	15	15
164	000C9128	0	8150	￣	45	90	59	104	15	15
165	000C9134	0	8151	＿	60	90	74	104	15	15
166	000C9140	0	8152	ヽ	75	90	89	104	15	15
167	000C914C	0	8154	ゝ	90	90	104	104	15	15
168	000C9158	0	8158	々	105	90	119	104	15	15
169	000C9164	0	815B	ー	120	90	134	104	15	15
170	000C9170	0	815C	―	135	90	149	104	15	15
171	000C917C	0	815E	／	150	90	164	104	15	15
172	000C9188	0	815F	＼	165	90	179	104	15	15
173	000C9194	0	8160	〜	180	90	194	104	15	15
174	000C91A0	0	8161	‖	195	90	209	104	15	15
175	000C91AC	0	8162	｜	210	90	224	104	15	15
176	000C91B8	0	8163	…	225	90	239	104	15	15
177	000C91C4	0	8165	‘	240	90	254	104	15	15
178	000C91D0	0	8166	’	0	105	14	119	15	15
179	000C91DC	0	8168	”	15	105	29	119	15	15
180	000C91E8	0	8169	（	30	105	44	119	15	15
181	000C91F4	0	816A	）	45	105	59	119	15	15
182	000C9200	0	816F	｛	60	105	74	119	15	15
183	000C920C	0	8170	｝	75	105	89	119	15	15
184	000C9218	0	8173	《	90	105	104	119	15	15
185	000C9224	0	8174	》	105	105	119	119	15	15
186	000C9230	0	8175	「	120	105	134	119	15	15
187	000C923C	0	8176	」	135	105	149	119	15	15
188	000C9248	0	8177	『	150	105	164	119	15	15
189	000C9254	0	8178	』	165	105	179	119	15	15
190	000C9260	0	8179	【	180	105	194	119	15	15
191	000C926C	0	817A	】	195	105	209	119	15	15
192	000C9278	0	817B	＋	210	105	224	119	15	15
193	000C9284	0	817C	−	225	105	239	119	15	15
194	000C9290	0	817E	×	240	105	254	119	15	15
195	000C929C	0	8180	÷	0	120	14	134	15	15
196	000C92A8	0	8181	＝	15	120	29	134	15	15
197	000C92B4	0	8182	≠	30	120	44	134	15	15
198	000C92C0	0	8183	＜	45	120	59	134	15	15
199	000C92CC	0	8184	＞	60	120	74	134	15	15
200	000C92D8	0	8186	≧	75	120	89	134	15	15
201	000C92E4	0	8187	∞	90	120	104	134	15	15
202	000C92F0	0	818F	￥	105	120	119	134	15	15
203	000C92FC	0	8190	＄	120	120	134	134	15	15
204	000C9308	0	8192	£	135	120	149	134	15	15
205	000C9314	0	8193	％	150	120	164	134	15	15
206	000C9320	0	8194	＃	165	120	179	134	15	15
207	000C932C	0	8195	＆	180	120	194	134	15	15
208	000C9338	0	8196	＊	195	120	209	134	15	15
209	000C9344	0	8197	＠	210	120	224	134	15	15
210	000C9350	0	8199	☆	225	120	239	134	15	15
211	000C935C	0	819A	★	240	120	254	134	15	15
212	000C9368	0	819B	○	0	135	14	149	15	15
213	000C9374	0	819C	●	15	135	29	149	15	15
214	000C9380	0	819E	◇	30	135	44	149	15	15
215	000C938C	0	819F	◆	45	135	59	149	15	15
216	000C9398	0	81A1	■	60	135	74	149	15	15
217	000C93A4	0	81A6	※	75	135	89	149	15	15
218	000C93B0	0	81A8	→	90	135	104	149	15	15
219	000C93BC	0	81A9	←	105	135	119	149	15	15
220	000C93C8	0	81AA	↑	120	135	134	149	15	15
221	000C93D4	0	81AB	↓	135	135	149	149	15	15
222	000C93E0	0	81B9	∋	150	135	164	149	15	15
223	000C93EC	0	81BC	⊂	165	135	179	149	15	15
224	000C93F8	0	81BE	∪	180	135	194	149	15	15
225	000C9404	0	81C9	∨	195	135	209	149	15	15
226	000C9410	0	81CD	∀	210	135	224	149	15	15
227	000C941C	0	81DA	∠	225	135	239	149	15	15
228	000C9428	0	81DC	⌒	240	135	254	149	15	15
229	000C9434	0	81DF	≡	0	150	14	164	15	15
230	000C9440	0	81E0	≒	15	150	29	164	15	15
231	000C944C	0	81E2	≫	30	150	44	164	15	15
232	000C9458	0	81E3	√	45	150	59	164	15	15
233	000C9464	0	81F4	♪	60	150	74	164	15	15
234	000C9470	0	824F	０	75	150	89	164	15	15
235	000C947C	0	8250	１	90	150	104	164	15	15
236	000C9488	0	8251	２	105	150	119	164	15	15
237	000C9494	0	8252	３	120	150	134	164	15	15
238	000C94A0	0	8253	４	135	150	149	164	15	15
239	000C94AC	0	8254	５	150	150	164	164	15	15
240	000C94B8	0	8255	６	165	150	179	164	15	15
241	000C94C4	0	8256	７	180	150	194	164	15	15
242	000C94D0	0	8257	８	195	150	209	164	15	15
243	000C94DC	0	8258	９	210	150	224	164	15	15
244	000C94E8	0	8260	Ａ	225	150	239	164	15	15
245	000C94F4	0	8261	Ｂ	240	150	254	164	15	15
246	000C9500	0	8262	Ｃ	0	165	14	179	15	15
247	000C950C	0	8263	Ｄ	15	165	29	179	15	15
248	000C9518	0	8264	Ｅ	30	165	44	179	15	15
249	000C9524	0	8265	Ｆ	45	165	59	179	15	15
250	000C9530	0	8266	Ｇ	60	165	74	179	15	15
251	000C953C	0	8267	Ｈ	75	165	89	179	15	15
252	000C9548	0	8268	Ｉ	90	165	104	179	15	15
253	000C9554	0	8269	Ｊ	105	165	119	179	15	15
254	000C9560	0	826A	Ｋ	120	165	134	179	15	15
255	000C956C	0	826B	Ｌ	135	165	149	179	15	15
256	000C9578	0	826C	Ｍ	150	165	164	179	15	15
257	000C9584	0	826D	Ｎ	165	165	179	179	15	15
258	000C9590	0	826E	Ｏ	180	165	194	179	15	15
259	000C959C	0	826F	Ｐ	195	165	209	179	15	15
260	000C95A8	0	8270	Ｑ	210	165	224	179	15	15
261	000C95B4	0	8271	Ｒ	225	165	239	179	15	15
262	000C95C0	0	8272	Ｓ	240	165	254	179	15	15
263	000C95CC	0	8273	Ｔ	0	180	14	194	15	15
264	000C95D8	0	8274	Ｕ	15	180	29	194	15	15
265	000C95E4	0	8275	Ｖ	30	180	44	194	15	15
266	000C95F0	0	8276	Ｗ	45	180	59	194	15	15
267	000C95FC	0	8277	Ｘ	60	180	74	194	15	15
268	000C9608	0	8278	Ｙ	75	180	89	194	15	15
269	000C9614	0	8279	Ｚ	90	180	104	194	15	15
270	000C9620	0	8281	ａ	105	180	119	194	15	15
271	000C962C	0	8282	ｂ	120	180	134	194	15	15
272	000C9638	0	8283	ｃ	135	180	149	194	15	15
273	000C9644	0	8284	ｄ	150	180	164	194	15	15
274	000C9650	0	8285	ｅ	165	180	179	194	15	15
275	000C965C	0	8286	ｆ	180	180	194	194	15	15
276	000C9668	0	8287	ｇ	195	180	209	194	15	15
277	000C9674	0	8288	ｈ	210	180	224	194	15	15
278	000C9680	0	8289	ｉ	225	180	239	194	15	15
279	000C968C	0	828A	ｊ	240	180	254	194	15	15
280	000C9698	0	828B	ｋ	0	195	14	209	15	15
281	000C96A4	0	828C	ｌ	15	195	29	209	15	15
282	000C96B0	0	828D	ｍ	30	195	44	209	15	15
283	000C96BC	0	828E	ｎ	45	195	59	209	15	15
284	000C96C8	0	828F	ｏ	60	195	74	209	15	15
285	000C96D4	0	8290	ｐ	75	195	89	209	15	15
286	000C96E0	0	8291	ｑ	90	195	104	209	15	15
287	000C96EC	0	8292	ｒ	105	195	119	209	15	15
288	000C96F8	0	8293	ｓ	120	195	134	209	15	15
289	000C9704	0	8294	ｔ	135	195	149	209	15	15
290	000C9710	0	8295	ｕ	150	195	164	209	15	15
291	000C971C	0	8296	ｖ	165	195	179	209	15	15
292	000C9728	0	8297	ｗ	180	195	194	209	15	15
293	000C9734	0	8298	ｘ	195	195	209	209	15	15
294	000C9740	0	8299	ｙ	210	195	224	209	15	15
295	000C974C	0	829A	ｚ	225	195	239	209	15	15
296	000C9758	0	829F	ぁ	240	195	254	209	15	15
297	000C9764	0	82A0	あ	0	210	14	224	15	15
298	000C9770	0	82A1	ぃ	15	210	29	224	15	15
299	000C977C	0	82A2	い	30	210	44	224	15	15
300	000C9788	0	82A3	ぅ	45	210	59	224	15	15
301	000C9794	0	82A4	う	60	210	74	224	15	15
302	000C97A0	0	82A5	ぇ	75	210	89	224	15	15
303	000C97AC	0	82A6	え	90	210	104	224	15	15
304	000C97B8	0	82A7	ぉ	105	210	119	224	15	15
305	000C97C4	0	82A8	お	120	210	134	224	15	15
306	000C97D0	0	82A9	か	135	210	149	224	15	15
307	000C97DC	0	82AA	が	150	210	164	224	15	15
308	000C97E8	0	82AB	き	165	210	179	224	15	15
309	000C97F4	0	82AC	ぎ	180	210	194	224	15	15
310	000C9800	0	82AD	く	195	210	209	224	15	15
311	000C980C	0	82AE	ぐ	210	210	224	224	15	15
312	000C9818	0	82AF	け	225	210	239	224	15	15
313	000C9824	0	82B0	げ	240	210	254	224	15	15
314	000C9830	0	82B1	こ	0	225	14	239	15	15
315	000C983C	0	82B2	ご	15	225	29	239	15	15
316	000C9848	0	82B3	さ	30	225	44	239	15	15
317	000C9854	0	82B4	ざ	45	225	59	239	15	15
318	000C9860	0	82B5	し	60	225	74	239	15	15
319	000C986C	0	82B6	じ	75	225	89	239	15	15
320	000C9878	0	82B7	す	90	225	104	239	15	15
321	000C9884	0	82B8	ず	105	225	119	239	15	15
322	000C9890	0	82B9	せ	120	225	134	239	15	15
323	000C989C	0	82BA	ぜ	135	225	149	239	15	15
324	000C98A8	0	82BB	そ	150	225	164	239	15	15
325	000C98B4	0	82BC	ぞ	165	225	179	239	15	15
326	000C98C0	0	82BD	た	180	225	194	239	15	15
327	000C98CC	0	82BE	だ	195	225	209	239	15	15
328	000C98D8	0	82BF	ち	210	225	224	239	15	15
329	000C98E4	0	82C0	ぢ	225	225	239	239	15	15
330	000C98F0	0	82C1	っ	240	225	254	239	15	15
331	000C98FC	0	82C2	つ	0	240	14	254	15	15
332	000C9908	0	82C3	づ	15	240	29	254	15	15
333	000C9914	0	82C4	て	30	240	44	254	15	15
334	000C9920	0	82C5	で	45	240	59	254	15	15
335	000C992C	0	82C6	と	60	240	74	254	15	15
336	000C9938	0	82C7	ど	75	240	89	254	15	15
337	000C9944	0	82C8	な	90	240	104	254	15	15
338	000C9950	0	82C9	に	105	240	119	254	15	15
339	000C995C	0	82CA	ぬ	120	240	134	254	15	15
340	000C9968	0	82CB	ね	135	240	149	254	15	15
341	000C9974	0	82CC	の	150	240	164	254	15	15
342	000C9980	0	82CD	は	165	240	179	254	15	15
343	000C998C	0	82CE	ば	180	240	194	254	15	15
344	000C9998	0	82CF	ぱ	195	240	209	254	15	15
345	000C99A4	0	82D0	ひ	210	240	224	254	15	15
346	000C99B0	0	82D1	び	225	240	239	254	15	15
347	000C99BC	0	82D2	ぴ	240	240	254	254	15	15
348	000C99C8	1	82D3	ふ	0	0	14	14	15	15
349	000C99D4	1	82D4	ぶ	15	0	29	14	15	15
350	000C99E0	1	82D5	ぷ	30	0	44	14	15	15
351	000C99EC	1	82D6	へ	45	0	59	14	15	15
352	000C99F8	1	82D7	べ	60	0	74	14	15	15
353	000C9A04	1	82D8	ぺ	75	0	89	14	15	15
354	000C9A10	1	82D9	ほ	90	0	104	14	15	15
355	000C9A1C	1	82DA	ぼ	105	0	119	14	15	15
356	000C9A28	1	82DB	ぽ	120	0	134	14	15	15
357	000C9A34	1	82DC	ま	135	0	149	14	15	15
358	000C9A40	1	82DD	み	150	0	164	14	15	15
359	000C9A4C	1	82DE	む	165	0	179	14	15	15
360	000C9A58	1	82DF	め	180	0	194	14	15	15
361	000C9A64	1	82E0	も	195	0	209	14	15	15
362	000C9A70	1	82E1	ゃ	210	0	224	14	15	15
363	000C9A7C	1	82E2	や	225	0	239	14	15	15
364	000C9A88	1	82E3	ゅ	240	0	254	14	15	15
365	000C9A94	1	82E4	ゆ	0	15	14	29	15	15
366	000C9AA0	1	82E5	ょ	15	15	29	29	15	15
367	000C9AAC	1	82E6	よ	30	15	44	29	15	15
368	000C9AB8	1	82E7	ら	45	15	59	29	15	15
369	000C9AC4	1	82E8	り	60	15	74	29	15	15
370	000C9AD0	1	82E9	る	75	15	89	29	15	15
371	000C9ADC	1	82EA	れ	90	15	104	29	15	15
372	000C9AE8	1	82EB	ろ	105	15	119	29	15	15
373	000C9AF4	1	82ED	わ	120	15	134	29	15	15
374	000C9B00	1	82F0	を	135	15	149	29	15	15
375	000C9B0C	1	82F1	ん	150	15	164	29	15	15
376	000C9B18	1	8340	ァ	165	15	179	29	15	15
377	000C9B24	1	8341	ア	180	15	194	29	15	15
378	000C9B30	1	8342	ィ	195	15	209	29	15	15
379	000C9B3C	1	8343	イ	210	15	224	29	15	15
380	000C9B48	1	8344	ゥ	225	15	239	29	15	15
381	000C9B54	1	8345	ウ	240	15	254	29	15	15
382	000C9B60	1	8346	ェ	0	30	14	44	15	15
383	000C9B6C	1	8347	エ	15	30	29	44	15	15
384	000C9B78	1	8348	ォ	30	30	44	44	15	15
385	000C9B84	1	8349	オ	45	30	59	44	15	15
386	000C9B90	1	834A	カ	60	30	74	44	15	15
387	000C9B9C	1	834B	ガ	75	30	89	44	15	15
388	000C9BA8	1	834C	キ	90	30	104	44	15	15
389	000C9BB4	1	834D	ギ	105	30	119	44	15	15
390	000C9BC0	1	834E	ク	120	30	134	44	15	15
391	000C9BCC	1	834F	グ	135	30	149	44	15	15
392	000C9BD8	1	8350	ケ	150	30	164	44	15	15
393	000C9BE4	1	8351	ゲ	165	30	179	44	15	15
394	000C9BF0	1	8352	コ	180	30	194	44	15	15
395	000C9BFC	1	8353	ゴ	195	30	209	44	15	15
396	000C9C08	1	8354	サ	210	30	224	44	15	15
397	000C9C14	1	8355	ザ	225	30	239	44	15	15
398	000C9C20	1	8356	シ	240	30	254	44	15	15
399	000C9C2C	1	8357	ジ	0	45	14	59	15	15
400	000C9C38	1	8358	ス	15	45	29	59	15	15
401	000C9C44	1	8359	ズ	30	45	44	59	15	15
402	000C9C50	1	835A	セ	45	45	59	59	15	15
403	000C9C5C	1	835B	ゼ	60	45	74	59	15	15
404	000C9C68	1	835C	ソ	75	45	89	59	15	15
405	000C9C74	1	835D	ゾ	90	45	104	59	15	15
406	000C9C80	1	835E	タ	105	45	119	59	15	15
407	000C9C8C	1	835F	ダ	120	45	134	59	15	15
408	000C9C98	1	8360	チ	135	45	149	59	15	15
409	000C9CA4	1	8361	ヂ	150	45	164	59	15	15
410	000C9CB0	1	8362	ッ	165	45	179	59	15	15
411	000C9CBC	1	8363	ツ	180	45	194	59	15	15
412	000C9CC8	1	8364	ヅ	195	45	209	59	15	15
413	000C9CD4	1	8365	テ	210	45	224	59	15	15
414	000C9CE0	1	8366	デ	225	45	239	59	15	15
415	000C9CEC	1	8367	ト	240	45	254	59	15	15
416	000C9CF8	1	8368	ド	0	60	14	74	15	15
417	000C9D04	1	8369	ナ	15	60	29	74	15	15
418	000C9D10	1	836A	ニ	30	60	44	74	15	15
419	000C9D1C	1	836B	ヌ	45	60	59	74	15	15
420	000C9D28	1	836C	ネ	60	60	74	74	15	15
421	000C9D34	1	836D	ノ	75	60	89	74	15	15
422	000C9D40	1	836E	ハ	90	60	104	74	15	15
423	000C9D4C	1	836F	バ	105	60	119	74	15	15
424	000C9D58	1	8370	パ	120	60	134	74	15	15
425	000C9D64	1	8371	ヒ	135	60	149	74	15	15
426	000C9D70	1	8372	ビ	150	60	164	74	15	15
427	000C9D7C	1	8373	ピ	165	60	179	74	15	15
428	000C9D88	1	8374	フ	180	60	194	74	15	15
429	000C9D94	1	8375	ブ	195	60	209	74	15	15
430	000C9DA0	1	8376	プ	210	60	224	74	15	15
431	000C9DAC	1	8377	ヘ	225	60	239	74	15	15
432	000C9DB8	1	8378	ベ	240	60	254	74	15	15
433	000C9DC4	1	8379	ペ	0	75	14	89	15	15
434	000C9DD0	1	837A	ホ	15	75	29	89	15	15
435	000C9DDC	1	837B	ボ	30	75	44	89	15	15
436	000C9DE8	1	837C	ポ	45	75	59	89	15	15
437	000C9DF4	1	837D	マ	60	75	74	89	15	15
438	000C9E00	1	837E	ミ	75	75	89	89	15	15
439	000C9E0C	1	8380	ム	90	75	104	89	15	15
440	000C9E18	1	8381	メ	105	75	119	89	15	15
441	000C9E24	1	8382	モ	120	75	134	89	15	15
442	000C9E30	1	8383	ャ	135	75	149	89	15	15
443	000C9E3C	1	8384	ヤ	150	75	164	89	15	15
444	000C9E48	1	8385	ュ	165	75	179	89	15	15
445	000C9E54	1	8386	ユ	180	75	194	89	15	15
446	000C9E60	1	8387	ョ	195	75	209	89	15	15
447	000C9E6C	1	8388	ヨ	210	75	224	89	15	15
448	000C9E78	1	8389	ラ	225	75	239	89	15	15
449	000C9E84	1	838A	リ	240	75	254	89	15	15
450	000C9E90	1	838B	ル	0	90	14	104	15	15
451	000C9E9C	1	838C	レ	15	90	29	104	15	15
452	000C9EA8	1	838D	ロ	30	90	44	104	15	15
453	000C9EB4	1	838F	ワ	45	90	59	104	15	15
454	000C9EC0	1	8392	ヲ	60	90	74	104	15	15
455	000C9ECC	1	8393	ン	75	90	89	104	15	15
456	000C9ED8	1	8394	ヴ	90	90	104	104	15	15
457	000C9EE4	1	8395	ヵ	105	90	119	104	15	15
458	000C9EF0	1	8396	ヶ	120	90	134	104	15	15
459	000C9EFC	1	83BF	α	135	90	149	104	15	15
460	000C9F08	1	83C0	β	150	90	164	104	15	15
461	000C9F14	1	83C3	ε	165	90	179	104	15	15
462	000C9F20	1	83C4	ζ	180	90	194	104	15	15
463	000C9F2C	1	83C7	ι	195	90	209	104	15	15
464	000C9F38	1	83CC	ξ	210	90	224	104	15	15
465	000C9F44	1	83D6	ω	225	90	239	104	15	15
466	000C9F50	1	8444	Д	240	90	254	104	15	15
467	000C9F5C	1	8448	З	0	105	14	119	15	15
468	000C9F68	1	845E	Э	15	105	29	119	15	15
469	000C9F74	1	8474	д	30	105	44	119	15	15
470	000C9F80	1	8478	з	45	105	59	119	15	15
471	000C9F8C	1	848F	э	60	105	74	119	15	15
472	000C9F98	1	849F	─	75	105	89	119	15	15
473	000C9FA4	1	84AA	━	90	105	104	119	15	15
474	000C9FB0	1	84AE	┛	105	105	119	119	15	15
475	000C9FBC	1	8756		120	105	134	119	15	15
476	000C9FC8	1	875B		135	105	149	119	15	15
477	000C9FD4	1	88A2	阿	150	105	164	119	15	15
478	000C9FE0	1	88A4	愛	165	105	179	119	15	15
479	000C9FEC	1	88AB	悪	180	105	194	119	15	15
480	000C9FF8	1	88B3	圧	195	105	209	119	15	15
481	000CA004	1	88B5	扱	210	105	224	119	15	15
482	000CA010	1	88C0	安	225	105	239	119	15	15
